Date,Time,Open,High,Low,Close,Tickvol,Vol,Spread
2024.05.23,20:00:00,2340.96,2342.94,2331.95,2332.13,8637,0,10
2024.05.23,21:00:00,2332.15,2336.41,2331.69,2334.79,6918,0,10
2024.05.23,22:00:00,2334.75,2334.87,2330.92,2331.50,4660,0,10
2024.05.23,23:00:00,2331.66,2332.71,2326.99,2327.89,2070,0,10
2024.05.24,01:00:00,2329.43,2332.14,2329.29,2330.97,1425,0,16
2024.05.24,02:00:00,2330.98,2333.61,2330.49,2331.96,2069,0,16
2024.05.24,03:00:00,2332.00,2332.33,2327.43,2329.04,3904,0,12
2024.05.24,04:00:00,2329.06,2335.17,2326.72,2333.87,8895,0,13
2024.05.24,05:00:00,2333.84,2334.53,2325.36,2330.75,7690,0,11
2024.05.24,06:00:00,2330.71,2331.51,2328.46,2330.57,4250,0,12
2024.05.24,07:00:00,2330.56,2335.14,2330.48,2335.07,3585,0,11
2024.05.24,08:00:00,2335.07,2339.24,2333.17,2338.50,5610,0,12
2024.05.24,09:00:00,2338.55,2339.53,2335.20,2338.78,7396,0,10
2024.05.24,10:00:00,2338.71,2340.57,2336.95,2337.67,5657,0,9
2024.05.24,11:00:00,2337.65,2340.97,2336.05,2340.09,5679,0,9
2024.05.24,12:00:00,2340.10,2343.17,2337.50,2337.55,5202,0,10
2024.05.24,13:00:00,2337.52,2343.87,2336.96,2340.29,5053,0,10
2024.05.24,14:00:00,2340.34,2342.07,2337.77,2338.22,4946,0,9
2024.05.24,15:00:00,2338.21,2340.79,2335.44,2339.31,8420,0,9
2024.05.24,16:00:00,2339.30,2347.36,2336.78,2336.93,10996,0,9
2024.05.24,17:00:00,2336.93,2343.17,2335.46,2338.38,10945,0,9
2024.05.24,18:00:00,2338.45,2340.14,2332.34,2334.52,8746,0,9
2024.05.24,19:00:00,2334.61,2336.93,2332.74,2334.23,5847,0,10
2024.05.24,20:00:00,2334.23,2334.46,2331.92,2332.67,4396,0,10
2024.05.24,21:00:00,2332.65,2336.73,2332.54,2334.85,3290,0,10
2024.05.24,22:00:00,2334.83,2334.86,2331.84,2333.76,2809,0,10
2024.05.24,23:00:00,2333.77,2335.13,2333.74,2334.32,1072,0,10
2024.05.27,01:00:00,2335.93,2340.68,2332.28,2340.28,2552,0,11
2024.05.27,02:00:00,2340.27,2340.67,2336.58,2337.20,2368,0,11
2024.05.27,03:00:00,2337.21,2337.36,2334.43,2336.18,2920,0,11
2024.05.27,04:00:00,2336.14,2340.34,2334.61,2339.65,6528,0,11
2024.05.27,05:00:00,2339.63,2346.36,2338.75,2346.14,5484,0,12
2024.05.27,06:00:00,2346.15,2347.54,2343.61,2346.06,5061,0,11
2024.05.27,07:00:00,2346.04,2346.12,2341.00,2342.97,2585,0,11
2024.05.27,08:00:00,2342.97,2344.18,2340.32,2343.71,4781,0,12
2024.05.27,09:00:00,2343.71,2344.63,2341.28,2341.38,6105,0,9
2024.05.27,10:00:00,2341.41,2341.54,2338.12,2338.52,4052,0,9
2024.05.27,11:00:00,2338.59,2346.19,2338.16,2344.20,4349,0,9
2024.05.27,12:00:00,2344.21,2345.80,2343.02,2343.25,3324,0,10
2024.05.27,13:00:00,2343.29,2345.77,2342.41,2344.95,3188,0,10
2024.05.27,14:00:00,2344.96,2346.04,2343.16,2345.10,4064,0,9
2024.05.27,15:00:00,2345.12,2349.63,2343.73,2347.17,6791,0,9
2024.05.27,16:00:00,2347.21,2356.94,2344.59,2354.97,11218,0,9
2024.05.27,17:00:00,2354.92,2358.44,2354.08,2354.40,7870,0,9
2024.05.27,18:00:00,2354.32,2356.84,2352.23,2352.47,7020,0,9
2024.05.27,19:00:00,2352.40,2355.58,2352.12,2354.98,3680,0,10
2024.05.27,20:00:00,2354.98,2355.12,2352.33,2355.04,1721,0,10
2024.05.27,21:00:00,2355.12,2355.14,2350.70,2350.79,983,0,10
2024.05.28,01:00:00,2352.44,2353.84,2351.52,2352.17,1050,0,17
2024.05.28,02:00:00,2352.15,2352.74,2351.06,2352.44,1508,0,13
2024.05.28,03:00:00,2352.46,2353.57,2351.22,2351.73,3737,0,11
2024.05.28,04:00:00,2351.75,2356.35,2349.15,2354.76,9468,0,13
2024.05.28,05:00:00,2354.78,2355.85,2351.57,2354.12,5718,0,12
2024.05.28,06:00:00,2354.13,2354.51,2350.25,2350.87,4785,0,11
2024.05.28,07:00:00,2350.86,2352.06,2350.45,2351.04,2837,0,11
2024.05.28,08:00:00,2351.00,2353.69,2349.59,2350.39,5008,0,11
2024.05.28,09:00:00,2350.38,2350.38,2341.33,2341.82,10513,0,10
2024.05.28,10:00:00,2341.78,2344.89,2341.73,2344.12,6194,0,9
2024.05.28,11:00:00,2344.10,2345.08,2340.30,2344.93,5732,0,9
2024.05.28,12:00:00,2344.90,2345.16,2342.26,2343.86,4382,0,9
2024.05.28,13:00:00,2343.84,2346.23,2343.21,2345.63,3901,0,9
2024.05.28,14:00:00,2345.68,2348.41,2343.55,2347.45,5233,0,9
2024.05.28,15:00:00,2347.43,2357.10,2345.92,2353.16,9449,0,10
2024.05.28,16:00:00,2353.17,2364.06,2352.27,2354.98,14295,0,11
2024.05.28,17:00:00,2354.95,2356.88,2347.93,2355.27,13259,0,12
2024.05.28,18:00:00,2355.28,2362.09,2352.91,2360.31,10399,0,11
2024.05.28,19:00:00,2360.31,2362.19,2355.23,2356.62,7798,0,11
2024.05.28,20:00:00,2356.63,2360.04,2353.22,2356.89,7884,0,14
2024.05.28,21:00:00,2356.87,2357.81,2352.79,2357.08,4314,0,14
2024.05.28,22:00:00,2357.07,2360.15,2355.79,2358.15,3876,0,14
2024.05.28,23:00:00,2358.16,2360.53,2357.89,2360.29,1640,0,14
2024.05.29,01:00:00,2361.75,2361.80,2358.04,2359.23,1900,0,18
2024.05.29,02:00:00,2359.24,2360.68,2358.14,2359.89,2244,0,17
2024.05.29,03:00:00,2359.72,2361.04,2357.33,2357.82,3231,0,17
2024.05.29,04:00:00,2357.82,2359.43,2355.62,2356.46,8269,0,17
2024.05.29,05:00:00,2356.45,2360.83,2354.38,2355.61,7089,0,17
2024.05.29,06:00:00,2355.61,2359.11,2355.23,2358.17,5280,0,17
2024.05.29,07:00:00,2358.18,2358.92,2356.81,2358.26,2555,0,17
2024.05.29,08:00:00,2358.27,2361.27,2356.41,2356.70,6978,0,17
2024.05.29,09:00:00,2356.69,2356.73,2351.03,2355.78,8962,0,15
2024.05.29,10:00:00,2355.74,2356.19,2350.05,2350.49,6476,0,15
2024.05.29,11:00:00,2350.58,2351.74,2344.87,2345.47,8047,0,15
2024.05.29,12:00:00,2345.46,2346.20,2340.87,2345.79,6843,0,15
2024.05.29,13:00:00,2345.70,2347.30,2343.05,2346.45,5535,0,15
2024.05.29,14:00:00,2346.50,2347.00,2338.65,2341.67,5911,0,16
2024.05.29,15:00:00,2341.61,2343.74,2334.53,2337.60,8851,0,17
2024.05.29,16:00:00,2337.58,2347.14,2335.93,2345.67,12408,0,17
2024.05.29,17:00:00,2345.66,2346.44,2341.47,2343.48,10274,0,17
2024.05.29,18:00:00,2343.48,2343.72,2336.62,2339.05,8815,0,17
2024.05.29,19:00:00,2339.05,2341.94,2335.97,2341.94,6172,0,14
2024.05.29,20:00:00,2341.85,2344.22,2339.30,2343.63,4810,0,14
2024.05.29,21:00:00,2343.69,2344.27,2337.95,2338.10,3354,0,14
2024.05.29,22:00:00,2338.14,2339.29,2336.31,2336.64,2965,0,14
2024.05.29,23:00:00,2336.69,2338.62,2335.96,2337.44,1898,0,14
2024.05.30,01:00:00,2338.61,2339.17,2337.26,2337.65,1521,0,17
2024.05.30,02:00:00,2337.70,2339.03,2337.60,2338.37,2351,0,17
2024.05.30,03:00:00,2338.38,2338.38,2333.92,2336.90,5374,0,17
2024.05.30,04:00:00,2336.95,2339.83,2332.91,2334.09,10447,0,17
2024.05.30,05:00:00,2334.02,2336.59,2328.03,2330.86,9036,0,17
2024.05.30,06:00:00,2330.81,2335.03,2329.11,2334.35,7122,0,17
2024.05.30,07:00:00,2334.36,2337.07,2333.97,2335.23,4384,0,17
2024.05.30,08:00:00,2335.22,2335.81,2322.54,2324.96,8983,0,17
2024.05.30,09:00:00,2324.99,2333.09,2324.05,2332.98,8817,0,15
2024.05.30,10:00:00,2332.88,2337.65,2332.25,2334.35,7682,0,15
2024.05.30,11:00:00,2334.40,2335.73,2331.88,2335.02,6897,0,15
2024.05.30,12:00:00,2335.02,2337.95,2331.66,2333.14,6581,0,15
2024.05.30,13:00:00,2333.15,2340.85,2330.57,2340.64,5897,0,15
2024.05.30,14:00:00,2340.65,2340.66,2335.14,2335.80,6693,0,17
2024.05.30,15:00:00,2335.78,2345.18,2331.96,2341.27,11953,0,18
2024.05.30,16:00:00,2341.15,2348.56,2339.76,2348.54,13476,0,17
2024.05.30,17:00:00,2348.93,2351.80,2342.70,2344.06,12088,0,17
2024.05.30,18:00:00,2344.07,2345.69,2341.76,2343.79,8837,0,17
2024.05.30,19:00:00,2343.80,2348.07,2340.86,2347.90,6437,0,14
2024.05.30,20:00:00,2347.90,2348.80,2342.81,2344.42,4591,0,14
2024.05.30,21:00:00,2344.40,2344.54,2341.22,2342.51,3458,0,14
2024.05.30,22:00:00,2342.50,2342.56,2339.83,2341.52,3636,0,14
2024.05.30,23:00:00,2341.47,2343.54,2341.47,2341.99,1319,0,14
2024.05.31,01:00:00,2343.50,2344.79,2342.02,2344.15,2525,0,18
2024.05.31,02:00:00,2344.14,2346.39,2343.11,2344.01,2249,0,17
2024.05.31,03:00:00,2343.99,2347.49,2342.55,2346.32,4525,0,17
2024.05.31,04:00:00,2346.31,2347.65,2343.06,2346.57,9616,0,17
2024.05.31,05:00:00,2346.56,2347.70,2342.27,2342.54,6540,0,17
2024.05.31,06:00:00,2342.58,2343.66,2336.95,2343.66,8053,0,17
2024.05.31,07:00:00,2343.65,2345.50,2341.01,2344.15,5135,0,17
2024.05.31,08:00:00,2344.10,2344.78,2341.71,2342.39,5493,0,15
2024.05.31,09:00:00,2342.30,2347.04,2341.96,2345.84,6964,0,15
2024.05.31,10:00:00,2345.83,2345.83,2339.85,2340.43,6516,0,15
2024.05.31,11:00:00,2340.42,2343.83,2339.67,2343.21,5589,0,15
2024.05.31,12:00:00,2343.20,2344.49,2340.99,2342.11,4553,0,15
2024.05.31,13:00:00,2342.06,2344.51,2341.51,2344.00,4407,0,15
2024.05.31,14:00:00,2343.99,2344.91,2342.59,2343.85,4719,0,17
2024.05.31,15:00:00,2343.83,2356.71,2342.41,2354.78,10807,0,17
2024.05.31,16:00:00,2354.71,2359.66,2343.52,2348.10,13534,0,14
2024.05.31,17:00:00,2348.33,2349.01,2334.11,2335.19,14927,0,17
2024.05.31,18:00:00,2335.20,2336.12,2327.72,2330.04,13715,0,17
