Gmt time,Open,High,Low,Close,Volume
26.02.2021 03:00:00.000,10.35535,10.36430,10.34695,10.35752,15140.0195
26.02.2021 04:00:00.000,10.35752,10.38945,10.35495,10.38109,12198.0303
26.02.2021 05:00:00.000,10.38109,10.39070,10.38083,10.38440,9181
26.02.2021 06:00:00.000,10.38435,10.39422,10.36804,10.39140,8884.4902
26.02.2021 07:00:00.000,10.39148,10.40925,10.37420,10.38405,9131.1396
26.02.2021 08:00:00.000,10.38411,10.38896,10.32419,10.34561,10148.6396
26.02.2021 09:00:00.000,10.34561,10.36005,10.31539,10.34417,7406.71
26.02.2021 10:00:00.000,10.34416,10.37474,10.34416,10.37254,6600.4502
26.02.2021 11:00:00.000,10.37279,10.43703,10.34686,10.40983,9715.7197
26.02.2021 12:00:00.000,10.40959,10.41850,10.36917,10.39607,11366.1699
26.02.2021 13:00:00.000,10.39607,10.42444,10.37064,10.37414,11301.7197
26.02.2021 14:00:00.000,10.37424,10.38664,10.35692,10.38654,13518.5801
26.02.2021 15:00:00.000,10.38639,10.45414,10.38628,10.45202,15000.79
26.02.2021 16:00:00.000,10.45202,10.48261,10.44222,10.46408,12991.0996
26.02.2021 17:00:00.000,10.46408,10.46971,10.43936,10.44985,7471.5498
26.02.2021 18:00:00.000,10.44994,10.46470,10.42924,10.44841,9700.8301
26.02.2021 19:00:00.000,10.44863,10.45314,10.43753,10.44461,8201.6797
26.02.2021 20:00:00.000,10.44461,10.46071,10.43844,10.45893,11509.46
26.02.2021 21:00:00.000,10.45874,10.46797,10.41602,10.44722,7008.5098
28.02.2021 22:00:00.000,10.44204,10.45681,10.44204,10.44404,26.44
28.02.2021 23:00:00.000,10.44489,10.45350,10.36087,10.41173,14004.21
01.03.2021 00:00:00.000,10.41174,10.43214,10.39916,10.41904,16905.3594
01.03.2021 01:00:00.000,10.41904,10.42512,10.40148,10.41056,10275.3301
01.03.2021 02:00:00.000,10.41056,10.41444,10.40362,10.40874,10084.0596
01.03.2021 03:00:00.000,10.40874,10.41064,10.40498,10.40644,2042.55
01.03.2021 04:00:00.000,10.40654,10.41844,10.40632,10.41724,7369.5298
01.03.2021 05:00:00.000,10.41724,10.41824,10.40625,10.40716,7744.6499
01.03.2021 06:00:00.000,10.40715,10.40891,10.38138,10.38281,4976.3101
01.03.2021 07:00:00.000,10.38251,10.40374,10.36584,10.40030,6845.2002
01.03.2021 08:00:00.000,10.40029,10.43144,10.39380,10.40949,9917.7305
01.03.2021 09:00:00.000,10.40930,10.42128,10.40247,10.40934,7045.9102
01.03.2021 10:00:00.000,10.40842,10.42051,10.40618,10.41860,6193.3398
01.03.2021 11:00:00.000,10.41860,10.42728,10.40344,10.40359,5344.54
01.03.2021 12:00:00.000,10.40345,10.40679,10.35548,10.35874,7148.3398
01.03.2021 13:00:00.000,10.35874,10.37546,10.35144,10.36634,6777.0898
01.03.2021 14:00:00.000,10.36624,10.36873,10.32334,10.34834,13925.96
01.03.2021 15:00:00.000,10.34834,10.35097,10.29996,10.30501,12055.9404
01.03.2021 16:00:00.000,10.30509,10.32020,10.30421,10.30936,8257.4004
01.03.2021 17:00:00.000,10.30996,10.32099,10.30377,10.32088,5170.9302
01.03.2021 18:00:00.000,10.32110,10.33481,10.31074,10.31607,6339.6299
01.03.2021 19:00:00.000,10.31593,10.31660,10.30523,10.30954,4757.2402
01.03.2021 20:00:00.000,10.30944,10.31574,10.30839,10.31192,12476.1104
01.03.2021 21:00:00.000,10.31193,10.31436,10.30060,10.30453,10115.21
01.03.2021 22:00:00.000,10.30338,10.32938,10.29562,10.31164,116.12
01.03.2021 23:00:00.000,10.31164,10.31496,10.30154,10.30263,13358.5898
02.03.2021 00:00:00.000,10.30274,10.31264,10.30151,10.30991,12596.9297
02.03.2021 01:00:00.000,10.30921,10.32464,10.30604,10.31974,5558.1201
02.03.2021 02:00:00.000,10.31968,10.33494,10.31708,10.32902,7026.1201
02.03.2021 03:00:00.000,10.32902,10.33220,10.32060,10.32342,8987.9404
02.03.2021 04:00:00.000,10.32342,10.33546,10.31877,10.33183,8530.75
02.03.2021 05:00:00.000,10.33187,10.34241,10.32809,10.33739,4939.6802
02.03.2021 06:00:00.000,10.33742,10.34087,10.32883,10.33822,4181.5801
02.03.2021 07:00:00.000,10.33822,10.35840,10.33518,10.34302,8172.3501
02.03.2021 08:00:00.000,10.34316,10.34669,10.27537,10.29474,7698.8398
02.03.2021 09:00:00.000,10.29454,10.30111,10.26479,10.27354,10989.9502
02.03.2021 10:00:00.000,10.27354,10.28699,10.25455,10.25654,7743.8701
02.03.2021 11:00:00.000,10.25674,10.25974,10.22432,10.23176,7887.8301
02.03.2021 12:00:00.000,10.23176,10.24701,10.22972,10.24024,5968.9502
02.03.2021 13:00:00.000,10.24034,10.26114,10.24007,10.24800,6624.8999
02.03.2021 14:00:00.000,10.24821,10.27579,10.22922,10.25994,9901.2197
02.03.2021 15:00:00.000,10.25984,10.27357,10.24055,10.25530,11416.0703
02.03.2021 16:00:00.000,10.25527,10.27658,10.24890,10.24971,8593.6602
02.03.2021 17:00:00.000,10.24955,10.25233,10.22854,10.23947,5914.3198
